@RELATION titanic

@ATTRIBUTE class {0,1}
@ATTRIBUTE Pclass {1,2,3}
@ATTRIBUTE Sex {0,1}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE SibSp NUMERIC
@ATTRIBUTE Parch NUMERIC
@ATTRIBUTE Fare NUMERIC
@ATTRIBUTE embarked {C,Q,S}
@ATTRIBUTE familysize NUMERIC
@ATTRIBUTE fareperperson NUMERIC

@DATA
?,1,0,28.5,0,0,27.7208,C,0,27.7208
?,1,1,35,0,0,211.5,C,0,211.5
?,1,0,32.5,0,0,211.5,C,0,211.5
?,3,0,?,0,0,8.05,S,0,8.05
?,1,1,55,2,0,25.7,S,2,8.56666666667
?,2,0,30,0,0,13,S,0,13.0
?,3,1,24,0,0,7.75,Q,0,7.75
?,3,0,6,1,1,15.2458,C,2,5.08193333333
?,1,0,67,1,0,221.7792,S,1,110.8896
?,1,0,49,0,0,26,S,0,26.0
?,3,0,?,0,0,7.8958,S,0,7.8958
?,2,0,?,0,0,10.7083,Q,0,10.7083
?,3,0,?,1,0,14.4542,C,1,7.2271
?,3,1,27,0,0,7.8792,Q,0,7.8792
?,3,1,18,0,0,8.05,S,0,8.05
?,3,1,?,0,0,7.75,Q,0,7.75
?,2,0,2,1,1,23,S,2,7.66666666667
?,3,1,22,1,0,13.9,S,1,6.95
?,3,0,?,0,0,7.775,S,0,7.775
?,1,1,27,1,2,52,S,3,13.0
?,3,0,?,0,0,8.05,S,0,8.05
?,1,0,25,0,0,26,C,0,26.0
?,3,0,25,0,0,7.7958,S,0,7.7958
?,1,1,76,1,0,78.85,S,1,39.425
?,3,0,29,0,0,7.925,S,0,7.925
?,3,1,20,0,0,7.8542,S,0,7.8542
?,3,0,33,0,0,8.05,S,0,8.05
?,1,1,43,1,0,55.4417,C,1,27.72085
?,2,0,27,1,0,26,S,1,13.0
?,3,0,?,0,0,7.75,Q,0,7.75
?,3,0,26,0,0,7.775,S,0,7.775
?,3,1,16,1,1,8.5167,C,2,2.8389
?,3,0,28,0,0,22.525,S,0,22.525
?,3,0,21,0,0,7.8208,Q,0,7.8208
?,3,0,?,0,0,7.75,Q,0,7.75
?,3,0,?,0,0,8.7125,S,0,8.7125
?,2,0,18.5,0,0,13,S,0,13.0
?,2,0,41,0,0,15.0458,C,0,15.0458
?,3,1,?,0,0,7.7792,Q,0,7.7792
?,1,1,36,0,0,31.6792,C,0,31.6792
?,3,1,18.5,0,0,7.2833,Q,0,7.2833
?,1,1,63,1,0,221.7792,S,1,110.8896
?,3,0,18,1,0,14.4542,C,1,7.2271
?,3,0,?,0,0,6.4375,C,0,6.4375
?,3,1,1,1,1,16.7,S,2,5.56666666667
?,1,0,36,0,0,75.2417,C,0,75.2417
?,2,1,29,1,0,26,S,1,13.0
?,2,1,12,0,0,15.75,S,0,15.75
?,3,0,?,1,0,7.75,Q,1,3.875
?,1,1,35,1,0,57.75,C,1,28.875
?,3,0,28,0,0,7.25,S,0,7.25
?,3,0,?,0,0,7.75,Q,0,7.75
?,3,1,17,0,1,16.1,S,1,8.05
?,3,0,22,0,0,7.7958,S,0,7.7958
?,3,1,?,2,0,23.25,Q,2,7.75
?,2,0,42,0,0,13,S,0,13.0
?,3,0,24,0,0,8.05,S,0,8.05
?,3,0,32,0,0,8.05,S,0,8.05
?,1,0,53,0,0,28.5,C,0,28.5
?,3,1,?,0,4,25.4667,S,4,5.09334
?,3,0,?,1,0,6.4375,C,1,3.21875
?,3,0,43,0,0,7.8958,S,0,7.8958
?,3,0,24,0,0,7.8542,S,0,7.8542
?,3,0,26.5,0,0,7.225,C,0,7.225
?,2,0,26,0,0,13,S,0,13.0
?,3,1,23,0,0,8.05,S,0,8.05
?,3,0,40,1,6,46.9,S,7,5.8625
?,3,1,10,5,2,46.9,S,7,5.8625
?,1,1,33,0,0,151.55,S,0,151.55
?,1,0,61,1,3,262.375,C,4,52.475
?,2,0,28,0,0,26,S,0,26.0
?,1,0,42,0,0,26.55,S,0,26.55
?,3,0,31,3,0,18,S,3,4.5
?,1,0,?,0,0,51.8625,S,0,51.8625
?,3,0,22,0,0,8.05,S,0,8.05
?,1,0,?,0,0,26.55,S,0,26.55
?,2,0,30,1,1,26,S,2,8.66666666667
?,1,1,23,0,1,83.1583,C,1,41.57915
?,3,0,?,0,0,7.8958,C,0,7.8958
?,3,0,60.5,0,0,?,S,0,?
?,3,1,36,0,2,12.1833,S,2,4.0611
?,3,0,13,4,2,31.3875,S,6,4.48392857143
?,3,0,24,0,0,7.55,S,0,7.55
?,1,1,29,0,0,221.7792,S,0,221.7792
?,3,1,23,0,0,7.8542,S,0,7.8542
?,1,0,42,0,0,26.55,S,0,26.55
?,3,1,26,0,2,13.775,S,2,4.59166666667
?,3,1,?,0,0,7.7333,Q,0,7.7333
?,3,0,7,1,1,15.2458,C,2,5.08193333333
?,2,1,26,0,0,13.5,S,0,13.5
?,3,0,?,0,0,7,S,0,7.0
?,2,0,41,0,0,13,S,0,13.0
?,3,1,26,1,1,22.025,S,2,7.34166666667
?,1,0,48,0,0,50.4958,C,0,50.4958
?,3,0,18,2,2,34.375,S,4,6.875
?,1,1,?,0,0,27.7208,C,0,27.7208
?,3,1,22,0,0,8.9625,S,0,8.9625
?,3,0,?,0,0,7.55,S,0,7.55
?,3,0,27,0,0,7.225,C,0,7.225
?,3,0,23,1,0,13.9,S,1,6.95
?,3,0,?,0,0,7.2292,C,0,7.2292
?,3,0,40,1,5,31.3875,S,6,4.48392857143
?,2,1,15,0,2,39,S,2,13.0
?,2,1,20,0,0,36.75,S,0,36.75
?,1,0,54,1,0,55.4417,C,1,27.72085
?,2,1,36,0,3,39,S,3,9.75
?,1,1,64,0,2,83.1583,C,2,27.7194333333
?,2,0,30,0,0,13,S,0,13.0
?,1,0,37,1,1,83.1583,C,2,27.7194333333
?,1,1,18,1,0,53.1,S,1,26.55
?,3,0,?,0,0,7.75,Q,0,7.75
?,1,1,27,1,1,247.5208,C,2,82.5069333333
?,2,0,40,0,0,16,S,0,16.0
?,2,1,21,0,1,21,S,1,10.5
?,3,0,17,2,0,8.05,S,2,2.68333333333
?,3,1,?,8,2,69.55,S,10,6.32272727273
?,2,0,40,0,0,13,S,0,13.0
?,2,0,34,1,0,26,S,1,13.0
?,1,0,?,0,0,26,S,0,26.0
?,3,0,11.5,1,1,14.5,S,2,4.83333333333
?,2,0,61,0,0,12.35,Q,0,12.35
?,2,0,8,0,2,32.5,S,2,10.8333333333
?,3,0,33,0,0,7.8542,S,0,7.8542
?,1,0,6,0,2,134.5,C,2,44.8333333333
?,3,1,18,0,0,7.775,S,0,7.775
?,2,0,23,0,0,10.5,S,0,10.5
?,3,1,?,0,0,8.1125,S,0,8.1125
?,3,1,?,0,0,15.5,Q,0,15.5
?,3,0,0.33,0,2,14.4,S,2,4.8
?,1,0,47,1,0,227.525,C,1,113.7625
?,2,1,8,1,1,26,S,2,8.66666666667
?,2,0,25,0,0,10.5,S,0,10.5
?,1,0,?,0,0,25.7417,C,0,25.7417
?,3,1,35,0,0,7.75,Q,0,7.75
?,2,0,24,0,0,10.5,S,0,10.5
?,1,1,33,0,0,27.7208,C,0,27.7208
?,3,0,25,0,0,7.8958,S,0,7.8958
?,3,0,32,0,0,22.525,S,0,22.525
?,3,0,?,0,0,7.05,S,0,7.05
?,2,0,17,0,0,73.5,S,0,73.5
?,2,1,60,1,0,26,S,1,13.0
?,3,1,38,4,2,7.775,S,6,1.11071428571
?,1,0,42,0,0,42.5,S,0,42.5
?,3,1,?,0,0,7.8792,Q,0,7.8792
?,1,0,57,1,1,164.8667,S,2,54.9555666667
?,1,1,50,1,1,211.5,C,2,70.5
?,3,0,?,0,0,8.05,S,0,8.05
?,2,1,30,1,0,13.8583,C,1,6.92915
?,3,0,21,0,0,8.05,S,0,8.05
?,2,1,22,0,0,10.5,S,0,10.5
?,3,0,21,0,0,7.7958,S,0,7.7958
?,1,1,53,0,0,27.4458,C,0,27.4458
?,3,1,?,0,2,15.2458,C,2,5.08193333333
?,3,0,23,0,0,7.7958,S,0,7.7958
?,3,1,?,0,0,7.75,Q,0,7.75
?,3,0,40.5,0,0,15.1,S,0,15.1
?,2,0,36,0,0,13,S,0,13.0
?,2,0,14,0,0,65,S,0,65.0
?,1,1,21,0,0,26.55,S,0,26.55
?,3,0,21,1,0,6.4958,S,1,3.2479
?,3,0,?,0,0,7.8792,Q,0,7.8792
?,1,0,39,1,0,71.2833,C,1,35.64165
?,3,0,20,0,0,7.8542,S,0,7.8542
?,1,0,64,1,0,75.25,C,1,37.625
?,3,0,20,0,0,7.225,C,0,7.225
?,2,1,18,1,1,13,S,2,4.33333333333
?,1,1,48,1,0,106.425,C,1,53.2125
?,1,1,55,0,0,27.7208,C,0,27.7208
?,2,1,45,0,2,30,S,2,10.0
?,1,0,45,1,1,134.5,C,2,44.8333333333
?,3,0,?,0,0,7.8875,S,0,7.8875
?,3,0,?,1,2,23.45,S,3,5.8625
?,1,0,41,1,0,51.8625,S,1,25.93125
?,2,1,22,0,0,21,S,0,21.0
?,2,0,42,1,1,32.5,S,2,10.8333333333
?,2,1,29,1,0,26,S,1,13.0
?,3,1,?,1,0,14.4542,C,1,7.2271
?,2,1,0.92,1,2,27.75,S,3,6.9375
?,3,0,20,0,0,7.925,S,0,7.925
?,1,0,27,1,0,136.7792,C,1,68.3896
?,3,0,24,0,0,9.325,S,0,9.325
?,3,0,32.5,0,0,9.5,S,0,9.5
?,3,0,?,0,0,7.55,S,0,7.55
?,3,0,?,0,0,7.75,Q,0,7.75
?,3,0,28,0,0,8.05,S,0,8.05
?,2,1,19,0,0,13,S,0,13.0
?,3,0,21,0,0,7.775,S,0,7.775
?,3,0,36.5,1,0,17.4,S,1,8.7
?,3,0,21,0,0,7.8542,S,0,7.8542
?,2,1,29,0,2,23,S,2,7.66666666667
?,3,1,1,1,1,12.1833,S,2,4.0611
?,2,0,30,0,0,12.7375,C,0,12.7375
?,3,0,?,0,0,7.8958,S,0,7.8958
?,1,0,?,0,0,0,S,0,0.0
?,3,0,?,0,0,7.55,S,0,7.55
?,3,1,?,0,0,8.05,S,0,8.05
?,3,0,17,0,0,8.6625,S,0,8.6625
?,1,0,46,0,0,75.2417,C,0,75.2417
?,3,0,?,0,0,7.75,Q,0,7.75
?,1,1,26,1,0,136.7792,C,1,68.3896
?,3,1,?,1,0,15.5,Q,1,7.75
?,3,0,?,0,0,7.225,C,0,7.225
?,2,1,20,1,0,26,S,1,13.0
?,2,0,28,0,0,10.5,S,0,10.5
?,2,0,40,1,0,26,S,1,13.0
?,2,0,30,1,0,21,S,1,10.5
?,2,0,22,0,0,10.5,S,0,10.5
?,3,1,23,0,0,8.6625,S,0,8.6625
?,3,0,0.75,1,1,13.775,S,2,4.59166666667
?,3,1,?,0,0,7.75,Q,0,7.75
?,3,1,9,1,1,15.2458,C,2,5.08193333333
?,3,1,2,1,1,20.2125,S,2,6.7375
?,3,0,36,0,0,7.25,S,0,7.25
?,3,0,?,0,0,7.25,S,0,7.25
?,1,0,24,1,0,82.2667,S,1,41.13335
?,3,0,?,0,0,7.2292,C,0,7.2292
?,3,0,?,0,0,8.05,S,0,8.05
?,1,0,?,0,0,39.6,S,0,39.6
?,3,1,30,0,0,6.95,Q,0,6.95
?,3,0,?,0,0,7.2292,C,0,7.2292
?,1,0,53,1,1,81.8583,S,2,27.2861
?,3,0,36,0,0,9.5,S,0,9.5
?,3,0,26,0,0,7.8958,S,0,7.8958
?,2,1,1,1,2,41.5792,C,3,10.3948
?,3,0,?,2,0,21.6792,C,2,7.2264
?,1,0,30,0,0,45.5,S,0,45.5
?,3,0,29,0,0,7.8542,S,0,7.8542
?,3,0,32,0,0,7.775,S,0,7.775
?,2,0,?,0,0,15.0458,C,0,15.0458
?,2,0,43,0,1,21,S,1,10.5
?,3,0,24,0,0,8.6625,S,0,8.6625
?,3,1,?,0,0,7.75,Q,0,7.75
?,1,1,64,1,1,26.55,S,2,8.85
?,1,0,30,1,2,151.55,S,3,37.8875
?,3,0,0.83,0,1,9.35,S,1,4.675
?,1,0,55,1,1,93.5,S,2,31.1666666667
?,3,1,45,1,0,14.1083,S,1,7.05415
?,3,0,18,0,0,8.6625,S,0,8.6625
?,3,0,22,0,0,7.225,C,0,7.225
?,3,0,?,0,0,7.575,S,0,7.575
?,3,1,37,0,0,7.75,Q,0,7.75
?,1,1,55,0,0,135.6333,C,0,135.6333
?,3,1,17,0,0,7.7333,Q,0,7.7333
?,1,0,57,1,0,146.5208,C,1,73.2604
?,2,0,19,0,0,10.5,S,0,10.5
?,3,0,27,0,0,7.8542,S,0,7.8542
?,2,0,22,2,0,31.5,S,2,10.5
?,3,0,26,0,0,7.775,S,0,7.775
?,3,0,25,0,0,7.2292,C,0,7.2292
?,2,0,26,0,0,13,S,0,13.0
?,1,0,33,0,0,26.55,S,0,26.55
?,1,1,39,0,0,211.3375,S,0,211.3375
?,3,0,23,0,0,7.05,S,0,7.05
?,2,1,12,2,1,39,S,3,9.75
?,1,0,46,0,0,79.2,C,0,79.2
?,2,0,29,1,0,26,S,1,13.0
?,2,0,21,0,0,13,S,0,13.0
?,2,1,48,0,2,36.75,S,2,12.25
?,1,0,39,0,0,29.7,C,0,29.7
?,3,0,?,0,0,7.225,C,0,7.225
?,3,1,19,1,1,15.7417,C,2,5.24723333333
?,3,0,27,0,0,7.8958,S,0,7.8958
?,1,0,30,0,0,26,S,0,26.0
?,2,0,32,0,0,13,S,0,13.0
?,3,0,39,0,2,7.2292,C,2,2.40973333333
?,2,0,25,0,0,31.5,S,0,31.5
?,3,0,?,0,0,7.2292,C,0,7.2292
?,2,0,18,0,0,10.5,S,0,10.5
?,3,0,32,0,0,7.5792,S,0,7.5792
?,3,0,?,1,9,69.55,S,10,6.32272727273
?,1,1,58,0,1,512.3292,C,1,256.1646
?,3,0,?,1,1,14.5,S,2,4.83333333333
?,3,1,16,0,0,7.65,S,0,7.65
?,2,0,26,0,0,13,S,0,13.0
?,3,1,38,0,0,7.2292,C,0,7.2292
?,2,0,24,0,0,13.5,S,0,13.5
?,2,1,31,0,0,21,S,0,21.0
?,1,1,45,0,1,63.3583,C,1,31.67915
?,2,0,25,0,0,10.5,S,0,10.5
?,2,0,18,0,0,73.5,S,0,73.5
?,2,0,49,1,2,65,S,3,16.25
?,3,1,0.17,1,2,20.575,S,3,5.14375
?,1,0,50,0,0,26,S,0,26.0
?,1,1,59,2,0,51.4792,S,2,17.1597333333
?,3,0,?,0,0,7.8792,S,0,7.8792
?,3,0,?,0,0,7.75,Q,0,7.75
?,3,1,30,1,0,15.55,S,1,7.775
?,3,0,14.5,8,2,69.55,S,10,6.32272727273
?,2,1,24,1,1,37.0042,C,2,12.3347333333
?,2,1,31,0,0,21,S,0,21.0
?,3,0,27,0,0,8.6625,S,0,8.6625
?,1,1,25,1,0,55.4417,C,1,27.72085
?,3,1,?,1,9,69.55,S,10,6.32272727273
?,3,0,?,1,0,14.4583,C,1,7.22915
?,3,1,22,0,0,39.6875,S,0,39.6875
?,1,1,45,0,1,59.4,C,1,29.7
?,2,0,29,0,0,13.8583,C,0,13.8583
?,2,0,21,1,0,11.5,S,1,5.75
?,1,1,31,0,0,134.5,C,0,134.5
?,1,0,49,0,0,0,S,0,0.0
?,2,0,44,0,0,13,S,0,13.0
?,1,1,54,1,1,81.8583,S,2,27.2861
?,1,1,45,0,0,262.375,C,0,262.375
?,3,1,22,2,0,8.6625,S,2,2.8875
?,2,0,21,0,0,11.5,S,0,11.5
?,1,0,55,0,0,50,S,0,50.0
?,3,0,5,4,2,31.3875,S,6,4.48392857143
?,3,0,?,0,0,7.75,Q,0,7.75
?,3,0,26,0,0,7.8792,Q,0,7.8792
?,3,1,?,0,0,14.5,S,0,14.5
?,3,1,19,1,0,16.1,S,1,8.05
?,2,0,?,0,0,12.875,S,0,12.875
?,2,1,24,1,2,65,S,3,16.25
?,3,0,24,0,0,7.775,S,0,7.775
?,2,0,57,0,0,13,S,0,13.0
?,3,0,21,0,0,7.75,Q,0,7.75
?,3,0,6,3,1,21.075,S,4,4.215
?,1,0,23,0,0,93.5,S,0,93.5
?,1,1,51,0,1,39.4,S,1,19.7
?,3,0,13,0,2,20.25,S,2,6.75
?,2,0,47,0,0,10.5,S,0,10.5
?,3,0,29,3,1,22.025,S,4,4.405
?,1,1,18,1,0,60,S,1,30.0
?,3,0,24,0,0,7.25,Q,0,7.25
?,1,1,48,1,1,79.2,C,2,26.4
?,3,0,22,0,0,7.775,S,0,7.775
?,3,0,31,0,0,7.7333,Q,0,7.7333
?,1,1,30,0,0,164.8667,S,0,164.8667
?,2,0,38,1,0,21,S,1,10.5
?,1,1,22,0,1,59.4,C,1,29.7
?,1,0,17,0,0,47.1,S,0,47.1
?,1,0,43,1,0,27.7208,C,1,13.8604
?,2,0,20,0,0,13.8625,C,0,13.8625
?,2,0,23,1,0,10.5,S,1,5.25
?,1,0,50,1,1,211.5,C,2,70.5
?,3,1,?,0,0,7.7208,Q,0,7.7208
?,3,1,3,1,1,13.775,S,2,4.59166666667
?,3,1,?,0,0,7.75,Q,0,7.75
?,1,1,37,1,0,90,Q,1,45.0
?,3,1,28,0,0,7.775,S,0,7.775
?,3,0,?,0,0,8.05,S,0,8.05
?,1,1,39,0,0,108.9,C,0,108.9
?,3,0,38.5,0,0,7.25,S,0,7.25
?,3,0,?,0,0,8.05,S,0,8.05
?,3,0,?,1,1,22.3583,C,2,7.45276666667
